Lexeme	WC	Flexion
saa¦riarfissaarutititsineq	N	{–riarfissaarutititsinerup, –riarfissaarutitsitsinerup, –riarfissaarutsititsinerup, –riarfissaarutsitsitsinerup, –teriarfissaarutititsinerup, –teriarfissaarutitsitsinerup, –teriarfissaarutsititsinerup, –teriarfissaarutsitsitsinerup}, {–riarfissaarutititsinerit, –riarfissaarutitsitsinerit, –riarfissaarutsititsinerit, –riarfissaarutsitsitsinerit, –teriarfissaarutititsinerit, –teriarfissaarutitsitsinerit, –teriarfissaarutsititsinerit, –teriarfissaarutsitsitsinerit}
saariarfissaarutt¦oq	N	–up, –ut
saa¦riarfissaaruttoq	N	{–riarfissaaruttup, –teriarfissaaruttup}, {–riarfissaaruttut, –teriarfissaaruttut}
saariarfissaasuavoq	V	(no generation)
saariarpaa	V	(no generation)
saariarpoq	V	(no generation)
saarl¦eq	N	{–erup, –iup}, {–erit, –iit}
saarlippoq	V	(no generation)
saarlisaarfi¦k	N	–up, –it
saarli¦saarfik	N	{–saarfiup, –taarfiup}, {–saarfiit, –taarfiit}
saarlisaarne¦q	N	–rup, –rit
saarli¦saarneq	N	{–saarnerup, –taarnerup}, {–saarnerit, –taarnerit}
saarlisaarpoq	V	(no generation)
saarlisaart¦oq	N	–up, –ut
saarli¦saartoq	N	{–saartup, –taartup}, {–saartut, –taartut}
saarlisaarut	N	–ip, –it
saarlisaat	N	–ip, –it
saarlisippaa	V	(no generation)
saarlivoq	V	(no generation)
saarl¦oq	N	–up, –ut
saarlormiu	N	–p, –t
saarlorpoq	V	(no generation)
saarlorsa¦q	N	–p, –t
saarlorsarpoq	V	(no generation)
saarlorsart¦ooq	N	–uup, –uut
saarlorserpaa	V	(no generation)
saarluppoq	V	(no generation)
saarmippaa	V	(no generation)
saarmippoq	V	(no generation)
saarnguvoq	V	(no generation)
saarnuvoq	V	(no generation)
saarulleerajuttuuvoq	V	(no generation)
saarulleerniartarpoq	V	(no generation)
saarulleerpoq	V	(no generation)
saarulleqassu¦seq	N	–tsip, –tsit
saarullerna¦q	N	–p, –t
saarullernartassat	N, pl.	-
saarullialuinnannguit	N, pl.	-
saarulligaa¦raq	N	–qqap, –qqat
saarulli¦gaq	N	–kkap, –kkat
saarulliisappoq	V	(no generation)
saarulli¦k	N	–up, –it
saarullinnia¦q	N	–p, –t
saarullinniarne¦q	N	–rup, –rit
saarullinniarpoq	V	(no generation)
saarullissu¦aq	N	–up, –it
saarullittassiissutit	N, pl.	-
saarulliusaa¦q	N	–p, –t
saarulliusa¦q	N	–p, –t
saarulliuteqarpoq	V	(no generation)
saasaavoq	V	(no generation)
saasa¦q	N	–p, –t
saasarpaa	V	(no generation)
saassa¦q	N	–p, –t
saa¦ssaq	N	{–ssap, –tap}, {–ssat, –tat}
saasserpoq	V	(no generation)
saassimaleriikatappoq	V	(no generation)
saassimavoq	V	(no generation)
saassinaqaaq	V	(no generation)
saassivoq	V	(no generation)
saassukkiartortarpaa	V	(no generation)
saassuppaa	V	(no generation)
saassu¦seq	N	–tsip, –tsit
saassu¦seriarsinnaanngitsoq	N	{–seriarsinnaanngitsup, –tileriarsinnaanngitsup}, {–seriarsinnaanngitsut, –tileriarsinnaanngitsut}
saassussaavoq	V	(no generation)
saassussine¦q	N	–rup, –rit
saassussiumat¦ooq	N	–uup, –uut
saassussivoq	V	(no generation)
saataneerpaa	V	(no generation)
Saatani	Prop	–p
saa¦taq	N	{–ssap, –tap}, {–ssat, –tat}
saatassaaruppoq	V	(no generation)
saaterniarpaa	V	(no generation)
saaterpaa	V	(no generation)
saaterpoq	V	(no generation)
saatippaa	V	(no generation)
saat¦serpaa	V	–itinngilaa
saatserpoq	V	(no generation)
saatsersuarpoq	V	(no generation)
saatsertuarpoq	V	(no generation)
saatsippaa	V	(no generation)
saatt¦oq	N	–up, –ut
saattoralaanngu¦aq	N	–up, –it
saattoralaa¦q	N	–p, –t
saattoralaarsivoq	V	(no generation)
saattormiu	N	–p, –t
saattorsiorpoq	V	(no generation)
saattuaasa¦q	N	–p, –t
saattua¦q	N	–p, –t
saattuaqqat	N, pl.	-
saattuarniarne¦q	N	–rup, –rit
saattuarsu¦k	N	–up, –it
saattuarsussu¦aq	N	–up, –it
saattuartassat	N, pl.	-
saattuartassiissut	N	–ip, –it
saattukuj¦ooq	N	–uup, –uut
saattukujoorsu¦aq	N	–up, –it
saattukujuugalu¦aq	N	–up, –it
saattukujuu¦innaq	N	{–ginnaap, –innaap}, {–ginnaat, –innaat}
saattukujuu¦innaq	N	{–ginnap, –innap, –innaap}, {–ginnat, –innat, –innaat}
saattukujuunngu¦aq	N	–up, –it
saattuliorpoq	V	(no generation)
saavaa	V	(no generation)
saavanii¦ppoq	V	–nngilaq
saavatigoorpoq	V	(no generation)
saavippaa	V	(no generation)
saavippoq	V	(no generation)
saavitaavoq	V	(no generation)
saavitt¦oq	N	–up, –ut
saavi¦ttoq	N	{–ssup, –ttup}, {–ssut, –ttut}
saa¦vittoq	N	{–vissup, –vittup, –tivissup, –tivittup}, {–vissut, –vittut, –tivissut, –tivittut}
saavoq	V	(no generation)
saffasippoq	V	(no generation)
saffiaavoq	V	(no generation)
saffia¦q	N	–p, –t
saffiarpaa	V	(no generation)
saffi¦ooq	N	–uup, –uut
saffiorfi¦k	N	–up, –it
saffiorpaa	V	(no generation)
saffiorpoq	V	(no generation)
saffiort¦oq	N	–up, –ut
saffiugaavoq	V	(no generation)
saffiu¦gaq	N	–kkap, –kkat
saffiugassa¦q	N	–p, –t
saffiugassia¦q	N	–p, –t
saffiugassiassa¦q	N	–p, –t
saggaas¦oq	N	–up, –ut
saggaatsia¦q	N	–p, –t
saggaavoq	V	(no generation)
sagga¦q	N	–ap, –at
saggarorpoq	V	(no generation)
saggarorsarpaa	V	(no generation)
saggarpaa	V	(no generation)
saggerpoq	V	(no generation)
saggussaarpaa	V	(no generation)
saggussaarpoq	V	(no generation)
saggut	N	–ip, –it
saggutaanna¦q	N	–ap, –at
saggut¦aannaq	N	{–aannaap, –iinnaap}, {–aannaat, –iinnaat}
sagguttart¦oq	N	–up, –ut
sajaalluinnarpoq	V	(no generation)
sajaannersaavoq	V	(no generation)
sajaappoq	V	(no generation)
sajaats¦oq	N	–up, –ut
sajaatsuune¦q	N	–rup, –rit
sajaatsuunngilaq	V	(no generation)
sajaqaaq	V	(no generation)
sajasorsuuvoq	V	(no generation)
sajavoq	V	(no generation)
sajukulaarne¦q	N	–rup, –rit
sajukulaarpallaaqaaq	V	(no generation)
sajukulaarpoq	V	(no generation)
sajukulaartitsine¦q	N	–rup, –rit
sajukulaartitsivoq	V	(no generation)
sajukulaarunnaarpoq	V	(no generation)
sajunne¦q	N	–rup, –rit
sajuppillappoq	V	(no generation)
sajuppillattoorne¦q	N	–rup, –rit
sajuppiluppoq	V	(no generation)
sajuppoq	V	(no generation)
sajussiis¦oq	N	–up, –ut
sajussiivi¦k	N	–up, –it
sajutsippaa	V	(no generation)
sajutt¦oq	N	–up, –ut
sajuttuinnaavoq	V	(no generation)
sakaluuallaaqaaq	V	(no generation)
sakaluuvoq	V	(no generation)
sakamappaa	V	(no generation)
sakamattal¦ik	N	{–iup, –lip, –lup}, –lit
sakamatta¦q	N	–p, –t
sakappaa	V	(no generation)
sakataavoq	V	(no generation)
sakata¦q	N	–p, –t
sakatsivoq	V	(no generation)
sakattaavoq	V	(no generation)
sakavoq	V	(no generation)
sakeerpaa	V	(no generation)
saki	N	–p, –t
sak¦i	N	–ip, {–er, –it}
sakiaajarpoq	V	(no generation)
sakiagippoq	V	(no generation)
sakiagissaat	N	–ip, –it
sakiagi¦ssaat	N	{–ssaatip, –ttaatip}, {–ssaatit, –ttaatit}
saki¦ak	N	–ssap, –ssat
sakiallunne¦q	N	–rup, –rit
sakialluppoq	V	(no generation)
sakialluut	N	–ip, –it
sakialluuteqaleriataarpoq	V	(no generation)
sakiamine¦q	N	–rup, –rit
sakiam¦ineq	N	–ernup, –ernit
sakiammippoq	V	(no generation)
sakiammissari¦aq	N	–ssap, –ssat
sakiannappoq	V	(no generation)
sakiaqut	N	–ip, –it
sakiatsia¦q	N	–ap, –at
sakiatsi¦aq	N	–up, –it
sakiatsiariissu¦seq	N	–tsip, –tsit
sakigaa	V	(no generation)
sakimmeraa	V	(no generation)
sakimmerpoq	V	(no generation)
sakimmilersorpoq	V	(no generation)
sakimmina¦q	N	–p, –t
sakimminaqaaq	V	(no generation)
sakimminarpoq	V	(no generation)
sakissappoq	V	(no generation)
sakissat	N, pl.	-
sakisserisaannarpoq	V	(no generation)
sakisserivoq	V	(no generation)
sakisserpoq	V	(no generation)
sakissersimaarpoq	V	(no generation)
sakiuvoq	V	(no generation)
sakivoq	V	(no generation)
sakkappoq	V	(no generation)
sakkattorsuuvoq	V	(no generation)
sakkoqanngilaq	V	(no generation)
sakkoqqort¦ooq	N	–uup, –uut
sakkort¦ooq	N	–uup, –uut
sakkortoorsu¦aq	N	–up, –it
sakkortuallaanngivippoq	V	(no generation)
sakkortuallaaqaaq	V	(no generation)
sakk¦ortunerpaaffik	N	{–ortunerpaaffiup, –ortunerpaajuffiup, –utunerpaaffiup, –utunerpaajuffiup}, {–ortunerpaaffiit, –ortunerpaajuffiit, –utunerpaaffiit, –utunerpaajuffiit}
sakk¦ortunerpaaq	N	{–ortunerpaap, –utunerpaap}, {–ortunerpaat, –utunerpaat}
sakk¦ortunersaq	N	{–ortunersap, –utunersap}, {–ortunersat, –utunersat}
sakkortusaane¦q	N	–rup, –rit
sakkortusaat	N	–ip, –it
sakk¦ortusaat	N	{–ortusaatip, –utusaatip}, {–ortusaatit, –utusaatit}
sakkortusaavi¦k	N	–up, –it
sakkortusaa¦vik	N	{–ffiup, –viup}, {–ffiit, –viit}
sakkortusigaluttuinnalerpoq	V	(no generation)
sakkortusigaluttuinnarpoq	V	(no generation)
sakkortusis¦oq	N	–up, –ut
sakkortusivaa	V	(no generation)
sakkortusivoq	V	(no generation)
sakkortussu¦seq	N	–tsip, –tsit
sakk¦ortussuseq	N	{–ortussutsip, –utussutsip}, {–ortussutsit, –utussutsit}
sakkortuvoq	V	(no generation)
sakku	N	–p, –t
sakku	Pron, pl.	–a
sakkuaaqatigaa	V	(no generation)
sakkuaavoq	V	(no generation)
sakkuarpaa	V	(no generation)
sakkuarpoq	V	(no generation)
sakkugippoq	V	(no generation)
sakkugissaarpoq	V	(no generation)
sakkuiarpaa	V	(no generation)
sakkuissu¦aq	N	–up, –it
sakkukilliartorpoq	V	(no generation)
sakkukillisaat	N	–ip, –it
sakkukillisippaa	V	(no generation)
sakkukillivoq	V	(no generation)
sakkukinaarpaa	V	(no generation)
sakkukippoq	V	(no generation)
sakkukits¦oq	N	–up, –ut
sakkulerpaa	V	(no generation)
sakkulerpoq	V	(no generation)
sakkulersorajuppoq	V	(no generation)
sakkulersorfiunngits¦oq	N	–up, –ut
sakkulersorne¦q	N	–rup, –rit
sakkulersorpaa	V	(no generation)
sakkulersorpoq	V	(no generation)
sakkulersort¦oq	N	–up, –ut
sakkulersorunnaarne¦q	N	–rup, –rit
sakkul¦ik	N	{–iup, –lip, –lup}, –lit
sakkulisarpoq	V	(no generation)
sakkulisartaannarpoq	V	(no generation)
sakkulissu¦aq	N	–up, –it
sakkul¦issuaq	N	{–ersuup, –issuup}, {–ersuit, –issuit}
sakkulliorpoq	V	(no generation)
sakkulliuinnarpoq	V	(no generation)
sakkuneqqaa¦q	N	–p, –t
sakkunerlaa¦q	N	–p, –t
sakkunippoq	V	(no generation)
sakkunittussaavoq	V	(no generation)
sakkunnerarpoq	V	(no generation)
sakkunnerine¦q	N	–rup, –rit
sakkunnerivoq	V	(no generation)
sakkuserpoq	V	(no generation)
sakkussaalluarpoq	V	(no generation)
sakkussamaasivi¦k	N	–up, –it
sakkussamaat	N	–ip, –it
sakkussa¦q	N	–p, –t
sakkussiorpoq	V	(no generation)
sakkutaarpoq	V	(no generation)
sakkut¦ooq	N	–uup, –uut
sakkutooqarfeqarne¦q	N	–rup, –rit
sakkutooqarfi¦k	N	–up, –it
sakkutooqarfiusimas¦oq	N	–up, –ut
sakkutooqarne¦q	N	–rup, –rit
sakkutooqatigiit	N, pl.	-
sakku¦tooqatigiit	N, pl.	{–atooqatigiit, –natooqatigiit, –tooqatigiit}
sakkutooqqinne¦q	N	–rup, –rit
sakku¦tooqqinneq	N	{–atooqqinnerup, –natooqqinnerup, –tooqqinnerup}, {–atooqqinnerit, –natooqqinnerit, –tooqqinnerit}
sakkutooqqinninngortippaa	V	(no generation)
sakkutooqqinninngortitaane¦q	N	–rup, –rit
sakku¦tooqqinninngortitaaneq	N	{–atooqqinninngortitaanerup, –natooqqinninngortitaanerup, –tooqqinninngortitaanerup}, {–atooqqinninngortitaanerit, –natooqqinninngortitaanerit, –tooqqinninngortitaanerit}
sakkutuu¦iaaneq	N	{–ajaanerup, –iaanerup}, {–ajaanerit, –iaanerit}
sakkutuuiarne¦q	N	–rup, –rit
sakkutuu¦iarneq	N	{–ajarnerup, –iarnerup}, {–ajarnerit, –iarnerit}
sakkutuujunissa¦q	N	–p, –t
sakkutuujunngits¦oq	N	–up, –ut
sakkutuujusaarpoq	V	(no generation)
sakkutuujusaas¦oq	N	–up, –ut
sakkutuujusussaassu¦seq	N	–tsip, –tsit
sakkutuulerpaa	V	(no generation)
sakkutuuligaane¦q	N	–rup, –rit
sakkutuuliine¦q	N	–rup, –rit
sakkutuunngoqqussut	N	–ip, –it
sakkutuunngorpoq	V	(no generation)
sakkutuunngorsinnaavoq	V	(no generation)
sakkutuunngortippaa	V	(no generation)
sakkutuunngortussarsiort¦oq	N	–up, –ut
sakkutuussarsiorne¦q	N	–rup, –rit
sakkutuussut	N	–ip, –it
sakkutuut	N, pl.	-
sakkuu¦sersorpoq	V	–tilersunngilaq
sakkuut	N	–ip, –it
sakkuutaaruppoq	V	(no generation)
sakrament¦e	N	–ip, {–er, –it}
sakramentiliarpoq	V	(no generation)
salaasuanarpoq	V	(no generation)
salaasuavoq	V	(no generation)
salajuataarpoq	V	(no generation)
salanaveersaarpoq	V	(no generation)
salatolia	N	–p, –t
salavallaaqaaq	V	(no generation)
salavoq	V	(no generation)
saligaappoq	V	(no generation)
saligaarsaarpoq	V	(no generation)
saligaats¦oq	N	–up, –ut
saligarpaa	V	(no generation)
saligartaat	N	–ip, –it
sali¦gartaat	N, pl.	{–gartaat, –tartaat}
saligartorpaa	V	(no generation)
saligut	N	–ip, –it
saliigajuppoq	V	(no generation)
saliine¦q	N	–rup, –rit
saliisuuvoq	V	(no generation)
saliivoq	V	(no generation)
salikkuminaakkaluaqaaq	V	(no generation)
salikkuminaakkaluarpoq	V	(no generation)
salikkuminaakkunarpoq	V	(no generation)
salikkuminaappoq	V	(no generation)
salikkuminarpoq	V	(no generation)
salilluarpaa	V	(no generation)
salippaa	V	(no generation)
salippoq	V	(no generation)
salisaavoq	V	(no generation)
salisa¦q	N	–p, –t
salissimavoq	V	(no generation)
salitaavoq	V	(no generation)
salita¦q	N	–p, –t
sali¦taq	N	{–kkap, –tap}, {–kkat, –tat}
salitassa¦q	N	–p, –t
sali¦tassaq	N	{–gassap, –tassap}, {–gassat, –tassat}
salittariaqarpoq	V	(no generation)
sallaallisimas¦oq	N	–up, –ut
sallaallivoq	V	(no generation)
sallaannerulerpoq	V	(no generation)
sallaappoq	V	(no generation)
sallaaqaaq	V	(no generation)
sallaaqis¦oq	N	–up, –ut
sallangerpoq	V	(no generation)
sallangersimas¦oq	N	–up, –ut
sallangersippaa	V	(no generation)
sallangersoorpoq	V	(no generation)
sallaserpoq	V	(no generation)
sallasissa¦q	N	–p, –t
sallat	N	–ip, –it
sallavoq	V	(no generation)
Sall¦eq	N	–iup, –iit
sall¦eq	N	–iup, –iit
salleqippaa	V	(no generation)
salleqippoq	V	(no generation)
salleqisippaa	V	(no generation)
salle¦raq	N	–qqap, –qqat
sallerpaa¦q	N	–p, –t
sallersaat	N	–ip, –it
sallersaavoq	V	(no generation)
sallia¦q	N	–p, –t
salliarna¦q	N	–p, –t
salliarnarta¦q	N	–p, –t
salliarta¦q	N	–p, –t
salliaru¦seq	N	–tsip, –tsit
sallilerpaa	V	(no generation)
sallili¦gaq	N	–kkap, –kkat
salliligarsivoq	V	(no generation)
salliligarsu¦aq	N	–up, –it
sallilikkia¦q	N	–p, –t
sallilikkiassa¦q	N	–p, –t
sallilikkiorfi¦k	N	–up, –it
sallilikkiorpoq	V	(no generation)
salliuniarpoq	V	(no generation)
salliussu¦seq	N	–tsip, –tsit
salliutinneqarsinnaane¦q	N	–rup, –rit
salliut¦inneqarsinnaaneq	N	{–inneqarsinnaanerup, –itinneqarsinnaanerup, –sinneqarsinnaanerup}, {–inneqarsinnaanerit, –itinneqarsinnaanerit, –sinneqarsinnaanerit}
salliutippaa	V	(no generation)
salliutitassaassu¦seq	N	–tsip, –tsit
salliutitsine¦q	N	–rup, –rit
salliutittuarpaa	V	(no generation)
salliuvoq	V	(no generation)
sallivaa	V	(no generation)
sallivoq	V	(no generation)
sall¦oq	N	–up, –ut
salloqittaane¦q	N	–rup, –rit
salloqittaasia¦q	N	–p, –t
salloqittaa¦siaq	N	{–siap, –tiliap}, {–siat, –tiliat}
salloqittaa¦siorneq	N	{–siornerup, –tiliornerup}, {–siornerit, –tiliornerit}
salloqittaasiorpoq	V	(no generation)
salloqittaat	N	–ip, –it
salloqittaavi¦k	N	–up, –it
salloqittaa¦vik	N	{–ffiup, –viup}, {–ffiit, –viit}
salloqittaavoq	V	(no generation)
salloqitta¦gaq	N	–kkap, –kkat
salloqittarpaa	V	(no generation)
salloqittarsaaraa	V	(no generation)
sallororpoq	V	(no generation)
sallu	N	–p, –t
sallugajuppoq	V	(no generation)
salluiornaqaaq	V	(no generation)
salluiorpaa	V	(no generation)
Salluit	Prop, pl.	-
sallukuj¦ooq	N	–uup, –uut
sallukuju¦k	N	–up, –it
sallukujussu¦aq	N	–up, –it
sallukujuuvoq	V	(no generation)
salluliorpoq	V	(no generation)
salluliuutigaa	V	(no generation)
sallunaveeqquserpaa	V	(no generation)
sallunaveeqqut	N	–ip, –it
sallusaannarpoq	V	(no generation)
sallusuippoq	V	(no generation)
sallusuissu¦seq	N	–tsip, –tsit
sallu¦suissuseq	N	{–suissutsip, –tuissutsip}, {–suissutsit, –tuissutsit}
sallusuissut	N	–ip, –it
sallu¦suissut	N, pl.	{–suissut, –suittut, –tuissut, –tuittut}
sallusuissutaavoq	V	(no generation)
sallusuits¦oq	N	–up, –ut
sallutigaa	V	(no generation)
sallutiginngisaannarpaa	V	(no generation)
sallutiginnikkajutt¦oq	N	–up, –ut
sallutippaa	V	(no generation)
sallut¦ooq	N	–uup, –uut
sallutoorsu¦aq	N	–up, –it
sallutoorsuuvoq	V	(no generation)
sallutoorujussuuvoq	V	(no generation)
salluttorpoq	V	(no generation)
sallutuvoq	V	(no generation)
salluus¦oq	N	–up, –ut
salluuvoq	V	(no generation)
salluvoq	V	(no generation)
saloqqusiorpoq	V	(no generation)
saloqqusivoq	V	(no generation)
saloqqut	N	–ip, –it
saloqqutaaruppoq	V	(no generation)
saloqqutaavoq	V	(no generation)
saloqqutit	N, pl.	-
saloqqutitaarpoq	V	(no generation)
saluarpaa	V	(no generation)
saluarpoq	V	(no generation)
saluarsarpaa	V	(no generation)
saluarserpaa	V	(no generation)
salukkunnaarpoq	V	(no generation)
salumavoq	V	(no generation)
salummaat	N	–ip, –it
salummaataavoq	V	(no generation)
salummarpaa	V	(no generation)
salummarpoq	V	(no generation)
salummarsarpaa	V	(no generation)
saluni	N	–p, –t
